title,POLT,ALT,PALT,ETT,AET,director,year,Display
نان و کوچه,Nān o kūcheh,,,The Bread and Alley,,Abbas Kiarostami,1970,"نان و کوچه [Nān o kūcheh] [The Bread and Alley] (Abbas Kiarostami, 1970)"
مسافر,Mosāfer,,,The Traveler,,Abbas Kiarostami,1974,"مسافر [Mosāfer] [The Traveler] (Abbas Kiarostami, 1974)"
دو راه حل برای يک مسئله,Dow rahehal baraye yek massaleh,,,Two Solutions for One Problem,,Abbas Kiarostami,1975,"دو راه حل برای يک مسئله [Dow rahehal baraye yek massaleh] [Two Solutions for One Problem] (Abbas Kiarostami, 1975)"
لباسی برای عروسی,Lebasi baraye arusi,,,The Wedding Suit,,Abbas Kiarostami,1976,"لباسی برای عروسی [Lebasi baraye arusi] [The Wedding Suit] (Abbas Kiarostami, 1976)"
گزارش,Gozaresh,,,The Report,,Abbas Kiarostami,1977,"گزارش [Gozaresh] [The Report] (Abbas Kiarostami, 1977)"
قضیه شکل اول... شکل دوم,Qazieh-e shekl-e avval... shekl-e dovvom,,,"First Case, Second Case",,Abbas Kiarostami,1979,"قضیه شکل اول... شکل دوم [Qazieh-e shekl-e avval... shekl-e dovvom] [First Case, Second Case] (Abbas Kiarostami, 1979)"
به ترتیب یا بدون ترتیب؟,Be tartib ya bedun-e tartib?,,,Orderly or Disorderly,,Abbas Kiarostami,1981,"به ترتیب یا بدون ترتیب؟ [Be tartib ya bedun-e tartib?] [Orderly or Disorderly] (Abbas Kiarostami, 1981)"
همشهری,Hamshahri,,,Fellow Citizen,,Abbas Kiarostami,1983,"همشهری [Hamshahri] [Fellow Citizen] (Abbas Kiarostami, 1983)"
خانه دوست کجاست,Khane-ye dust kojast,,,Where Is the Friend's Home?,,Abbas Kiarostami,1987,"خانه دوست کجاست [Khane-ye dust kojast] [Where Is the Friend's Home?] (Abbas Kiarostami, 1987)"
مشق شب,Masq-e sab,,,Homework,,Abbas Kiarostami,1989,"مشق شب [Masq-e sab] [Homework] (Abbas Kiarostami, 1989)"
"کلوزآپ ، نمای نزدیک","Kluzap, nema-ye nazdik",,,Close-Up,,Abbas Kiarostami,1990,"کلوزآپ ، نمای نزدیک [Kluzap, nema-ye nazdik] [Close-Up] (Abbas Kiarostami, 1990)"
زندگی و دیگر هیچ,Zendegi va digar hich,,,And Life Goes On…,"Life, and Nothing More",Abbas Kiarostami,1992,"زندگی و دیگر هیچ [Zendegi va digar hich] [And Life Goes On…] [Life, and Nothing More] (Abbas Kiarostami, 1992)"
زیر درختان زیتون,Zir-e derakhtan-e zeytin,,,Through the Olive Trees,,Abbas Kiarostami,1994,"زیر درختان زیتون [Zir-e derakhtan-e zeytin] [Through the Olive Trees] (Abbas Kiarostami, 1994)"
...طعم گيلاس,Ta'm-e gilas...,,,Taste of Cherry,,Abbas Kiarostami,1997,"...طعم گيلاس [Ta'm-e gilas...] [Taste of Cherry] (Abbas Kiarostami, 1997)"
باد ما را خواهد برد,Bad ma ra khahad bord,,,The Wind Will Carry Us,,Abbas Kiarostami,1999,"باد ما را خواهد برد [Bad ma ra khahad bord] [The Wind Will Carry Us] (Abbas Kiarostami, 1999)"
ABC Africa,,,,,,Abbas Kiarostami,2001,"ABC Africa (Abbas Kiarostami, 2001)"
ده,Dah,,,Ten,,Abbas Kiarostami,2002,"ده [Dah] [Ten] (Abbas Kiarostami, 2002)"
پنج,Panj,,,Five Dedicated to Ozu,,Abbas Kiarostami,2003,"پنج [Panj] [Five Dedicated to Ozu] (Abbas Kiarostami, 2003)"
جادهها-ی کیارستمی,Jadeha-ye Kiarostami,,,Roads of Kiarostami,,Abbas Kiarostami,2006,"جادهها-ی کیارستمی [Jadeha-ye Kiarostami] [Roads of Kiarostami] (Abbas Kiarostami, 2006)"
شیرین,Shirin,,,,,Abbas Kiarostami,2008,"شیرین [Shirin] (Abbas Kiarostami, 2008)"
Copie conforme,,,,Certified Copy,,Abbas Kiarostami,2010,"Copie conforme [Certified Copy] (Abbas Kiarostami, 2010)"
ライク サムワンイン ラブ,Raiku samuwan in rabu,,,Like Someone in Love,,Abbas Kiarostami,2012,"ライク サムワンイン ラブ [Raiku samuwan in rabu] [Like Someone in Love] (Abbas Kiarostami, 2012)"
۲۴ فریم,Bist o chahār feraim,,,24 Frames,,Abbas Kiarostami,2017,"۲۴ فریم [Bist o chahār feraim] [24 Frames] (Abbas Kiarostami, 2017)"
La Pointe Courte,,,,,,Agnès Varda,1955,"La Pointe Courte (Agnès Varda, 1955)"
L'Opéra-mouffe,,,,Diary of a Pregnant Woman,,Agnès Varda,1958,"L'Opéra-mouffe [Diary of a Pregnant Woman] (Agnès Varda, 1958)"
Cléo de 5 à 7,,,,Cléo from 5 to 7,,Agnès Varda,1962,"Cléo de 5 à 7 [Cléo from 5 to 7] (Agnès Varda, 1962)"
Le Bonheur,,,,,,Agnès Varda,1965,"Le Bonheur (Agnès Varda, 1965)"
Oncle Yanco,,,,Uncle Yanco,,Agnès Varda,1967,"Oncle Yanco [Uncle Yanco] (Agnès Varda, 1967)"
Black Panthers,,,,,,Agnès Varda,1968,"Black Panthers (Agnès Varda, 1968)"
Lions Love,,,,,,Agnès Varda,1969,"Lions Love (Agnès Varda, 1969)"
Daguerréotypes,,,,,,Agnès Varda,1975,"Daguerréotypes (Agnès Varda, 1975)"
"L'une chante, l'autre pas",,,,"One Sings, the Other Doesn't",,Agnès Varda,1977,"L'une chante, l'autre pas [One Sings, the Other Doesn't] (Agnès Varda, 1977)"
Documenteur,,,,,,Agnès Varda,1981,"Documenteur (Agnès Varda, 1981)"
Ulysse,,,,,,Agnès Varda,1982,"Ulysse (Agnès Varda, 1982)"
Sans toit ni loi,,,,Vagabond,,Agnès Varda,1985,"Sans toit ni loi [Vagabond] (Agnès Varda, 1985)"
Jane B. par Agnès V.,,,,Jane B. by Agnès V.,,Agnès Varda,1988,"Jane B. par Agnès V. [Jane B. by Agnès V.] (Agnès Varda, 1988)"
Le Petit Amour,,,,Kung-fu Master!,,Agnès Varda,1988,"Le Petit Amour [Kung-fu Master!] (Agnès Varda, 1988)"
Jacquot de Nantes,,,,,,Agnès Varda,1991,"Jacquot de Nantes (Agnès Varda, 1991)"
Les demoiselles ont eu 25 ans,,,,The Young Girls Turn 25,,Agnès Varda,1993,"Les demoiselles ont eu 25 ans [The Young Girls Turn 25] (Agnès Varda, 1993)"
Les Glaneurs et la Glaneuse,,,,The Gleaners & I,,Agnès Varda,2000,"Les Glaneurs et la Glaneuse [The Gleaners & I] (Agnès Varda, 2000)"
Les Glaneurs et la Glaneuse... deux ans après,,,,The Gleaners & I: Two Years Later,,Agnès Varda,2002,"Les Glaneurs et la Glaneuse... deux ans après [The Gleaners & I: Two Years Later] (Agnès Varda, 2002)"
"Ydessa, les ours et etc.",,,,"Ydessa, the Bears, etc.",,Agnès Varda,2004,"Ydessa, les ours et etc. [Ydessa, the Bears, etc.] (Agnès Varda, 2004)"
Les Plages d'Agnès,,,,The Beaches of Agnès,,Agnès Varda,2008,"Les Plages d'Agnès [The Beaches of Agnès] (Agnès Varda, 2008)"
Varda par Agnès,,,,Varda by Agnès,,Agnès Varda,2019,"Varda par Agnès [Varda by Agnès] (Agnès Varda, 2019)"
Visages villages,,,,Faces Places,,Agnès Varda & JR,2017,"Visages villages [Faces Places] (Agnès Varda & JR, 2017)"
姿三四郎,Sugata Sanshirō,,,Sanshirō Sugata,,Akira Kurosawa,1943,"姿三四郎 [Sugata Sanshirō] [Sanshirō Sugata] (Akira Kurosawa, 1943)"
一番美しく,Ichiban utsukushiku,,,The Most Beautiful,,Akira Kurosawa,1944,"一番美しく [Ichiban utsukushiku] [The Most Beautiful] (Akira Kurosawa, 1944)"
虎の尾を踏む男達,Tora no o wo fumu otokotachi,,,The Men Who Tread on the Tiger's Tail,,Akira Kurosawa,1945,"虎の尾を踏む男達 [Tora no o wo fumu otokotachi] [The Men Who Tread on the Tiger's Tail] (Akira Kurosawa, 1945)"
續姿三四郎,Zoku Sugata Sanshirō,,,Sanshirō Sugata Part II,,Akira Kurosawa,1945,"續姿三四郎 [Zoku Sugata Sanshirō] [Sanshirō Sugata Part II] (Akira Kurosawa, 1945)"
わが青春に悔なし,Waga seishun ni kuinashi,,,No Regrets for Our Youth,,Akira Kurosawa,1946,"わが青春に悔なし [Waga seishun ni kuinashi] [No Regrets for Our Youth] (Akira Kurosawa, 1946)"
素晴らしき日曜日,Subarashiki nichiyōbi,,,One Wonderful Sunday,,Akira Kurosawa,1947,"素晴らしき日曜日 [Subarashiki nichiyōbi] [One Wonderful Sunday] (Akira Kurosawa, 1947)"
酔いどれ天使,Yoidore tenshi,,,Drunken Angel,,Akira Kurosawa,1948,"酔いどれ天使 [Yoidore tenshi] [Drunken Angel] (Akira Kurosawa, 1948)"
静かなる決闘,Shizukanaru kettō,,,The Quiet Duel,,Akira Kurosawa,1949,"静かなる決闘 [Shizukanaru kettō] [The Quiet Duel] (Akira Kurosawa, 1949)"
野良犬,Nora inu,,,Stray Dog,,Akira Kurosawa,1949,"野良犬 [Nora inu] [Stray Dog] (Akira Kurosawa, 1949)"
羅生門,Rashōmon,,,,,Akira Kurosawa,1950,"羅生門 [Rashōmon] (Akira Kurosawa, 1950)"
醜聞,Shūbun,,,Scandal,,Akira Kurosawa,1950,"醜聞 [Shūbun] [Scandal] (Akira Kurosawa, 1950)"
白痴,Hakuchi,,,The Idiot,,Akira Kurosawa,1951,"白痴 [Hakuchi] [The Idiot] (Akira Kurosawa, 1951)"
生きる,Ikiru,,,To Live,,Akira Kurosawa,1952,"生きる [Ikiru] [To Live] (Akira Kurosawa, 1952)"
七人の侍,Shichinin no samurai,,,Seven Samurai,,Akira Kurosawa,1954,"七人の侍 [Shichinin no samurai] [Seven Samurai] (Akira Kurosawa, 1954)"
生きものの記録,Ikimono no kiroku,,,I Live in Fear,,Akira Kurosawa,1955,"生きものの記録 [Ikimono no kiroku] [I Live in Fear] (Akira Kurosawa, 1955)"
どん底,Donzoko,,,The Lower Depths,,Akira Kurosawa,1957,"どん底 [Donzoko] [The Lower Depths] (Akira Kurosawa, 1957)"
蜘蛛巣城,Kumonosu-jō,,,Throne of Blood,,Akira Kurosawa,1957,"蜘蛛巣城 [Kumonosu-jō] [Throne of Blood] (Akira Kurosawa, 1957)"
隠し砦の三悪人,Kakushi toride no san akunin,,,The Hidden Fortress,,Akira Kurosawa,1958,"隠し砦の三悪人 [Kakushi toride no san akunin] [The Hidden Fortress] (Akira Kurosawa, 1958)"
悪い奴ほどよく眠る,Warui yatsu hodo yoku nemuru,,,The Bad Sleep Well,,Akira Kurosawa,1960,"悪い奴ほどよく眠る [Warui yatsu hodo yoku nemuru] [The Bad Sleep Well] (Akira Kurosawa, 1960)"
用心棒,Yōjinbō,,,,,Akira Kurosawa,1961,"用心棒 [Yōjinbō] (Akira Kurosawa, 1961)"
椿三十郎,Tsubaki Sanjūrō,,,,,Akira Kurosawa,1962,"椿三十郎 [Tsubaki Sanjūrō] (Akira Kurosawa, 1962)"
天国と地獄,Tengoku to jigoku,,,High and Low,,Akira Kurosawa,1963,"天国と地獄 [Tengoku to jigoku] [High and Low] (Akira Kurosawa, 1963)"
赤ひげ,Akahige,,,Red Beard,,Akira Kurosawa,1965,"赤ひげ [Akahige] [Red Beard] (Akira Kurosawa, 1965)"
どですかでん,Dodes'ka-den,,,,,Akira Kurosawa,1970,"どですかでん [Dodes'ka-den] (Akira Kurosawa, 1970)"
デルス・ウザーラ,Dersu Uzala,,,,,Akira Kurosawa,1975,"デルス・ウザーラ [Dersu Uzala] (Akira Kurosawa, 1975)"
影武者,Kagemusha,,,,,Akira Kurosawa,1980,"影武者 [Kagemusha] (Akira Kurosawa, 1980)"
乱,Ran,,,,,Akira Kurosawa,1985,"乱 [Ran] (Akira Kurosawa, 1985)"
夢,Yume,,,Dreams,,Akira Kurosawa,1990,"夢 [Yume] [Dreams] (Akira Kurosawa, 1990)"
八月の狂詩曲,Hachigatsu no kyōshikyoku,,,Rhapsody in August,,Akira Kurosawa,1990,"八月の狂詩曲 [Hachigatsu no kyōshikyoku] [Rhapsody in August] (Akira Kurosawa, 1990)"
まあだだよ,Mādadayo,,,,,Akira Kurosawa,1993,"まあだだよ [Mādadayo] (Akira Kurosawa, 1993)"
Nuit et Brouillard,,,,Night and Fog,,Alain Resnais,1955,"Nuit et Brouillard [Night and Fog] (Alain Resnais, 1955)"
Toute la mémoire du monde,,,,All the Memory in the World,,Alain Resnais,1956,"Toute la mémoire du monde [All the Memory in the World] (Alain Resnais, 1956)"
Le Chant du styrène,,,,,,Alain Resnais,1958,"Le Chant du styrène (Alain Resnais, 1958)"
Hiroshima mon amour,,,,,,Alain Resnais,1959,"Hiroshima mon amour (Alain Resnais, 1959)"
L'Année dernière à Marienbad,,,,Last Year at Marienbad,,Alain Resnais,1961,"L'Année dernière à Marienbad [Last Year at Marienbad] (Alain Resnais, 1961)"
Muriel ou le Temps d'un retour,,,,,,Alain Resnais,1963,"Muriel ou le Temps d'un retour (Alain Resnais, 1963)"
La guerre est finie,,,,The War Is Over,,Alain Resnais,1966,"La guerre est finie [The War Is Over] (Alain Resnais, 1966)"
"Je t'aime, je t'aime",,,,,,Alain Resnais,1968,"Je t'aime, je t'aime (Alain Resnais, 1968)"
Stavisky…,,,,,,Alain Resnais,1974,"Stavisky… (Alain Resnais, 1974)"
Providence,,,,,,Alain Resnais,1977,"Providence (Alain Resnais, 1977)"
Mon oncle d'Amérique,,,,My American Uncle,,Alain Resnais,1980,"Mon oncle d'Amérique [My American Uncle] (Alain Resnais, 1980)"
La vie est un roman,,,,Life Is a Bed of Roses,,Alain Resnais,1983,"La vie est un roman [Life Is a Bed of Roses] (Alain Resnais, 1983)"
L'Amour à mort,,,,Love Unto Death,,Alain Resnais,1984,"L'Amour à mort [Love Unto Death] (Alain Resnais, 1984)"
Mélo,,,,,,Alain Resnais,1986,"Mélo (Alain Resnais, 1986)"
I Want to Go Home,,,,,,Alain Resnais,1989,"I Want to Go Home (Alain Resnais, 1989)"
Smoking/No Smoking,,,,,,Alain Resnais,1993,"Smoking/No Smoking (Alain Resnais, 1993)"
On connaît la chanson,,,,Same Old Song,,Alain Resnais,1997,"On connaît la chanson [Same Old Song] (Alain Resnais, 1997)"
Pas sur la bouche,,,,Not on the Lips,,Alain Resnais,2003,"Pas sur la bouche [Not on the Lips] (Alain Resnais, 2003)"
Cœurs,,,,Private Fears in Public Places,,Alain Resnais,2006,"Cœurs [Private Fears in Public Places] (Alain Resnais, 2006)"
Les Herbes folles,,,,Wild Grass,,Alain Resnais,2009,"Les Herbes folles [Wild Grass] (Alain Resnais, 2009)"
Vous n'avez encore rien vu,,,,You Ain't Seen Nothin' Yet,,Alain Resnais,2012,"Vous n'avez encore rien vu [You Ain't Seen Nothin' Yet] (Alain Resnais, 2012)"
"Aimer, boire et chanter",,,,Life of Riley,,Alain Resnais,2014,"Aimer, boire et chanter [Life of Riley] (Alain Resnais, 2014)"
Les statues meurent aussi,,,,Statues Also Die,,Alain Resnais & Chris Marker,1953,"Les statues meurent aussi [Statues Also Die] (Alain Resnais & Chris Marker, 1953)"
Guernica,,,,,,Alain Resnais & Robert Hessens,1950,"Guernica (Alain Resnais & Robert Hessens, 1950)"
Rien que les heures,,,,Nothing But Time,,Alberto Cavalcanti,1926,"Rien que les heures [Nothing But Time] (Alberto Cavalcanti, 1926)"
Одинокий голос человека,Odinokiy golos cheloveka,,,The Lonely Voice of Man,,Aleksandr Sokurov,1987,"Одинокий голос человека [Odinokiy golos cheloveka] [The Lonely Voice of Man] (Aleksandr Sokurov, 1987)"
Скорбное бесчувствие,Skorbnoye beschuvstviye,,,Mournful Unconcern,,Aleksandr Sokurov,1987,"Скорбное бесчувствие [Skorbnoye beschuvstviye] [Mournful Unconcern] (Aleksandr Sokurov, 1987)"
Дни затмения,Dni zatmeniya,,,Days of Eclipse,,Aleksandr Sokurov,1988,"Дни затмения [Dni zatmeniya] [Days of Eclipse] (Aleksandr Sokurov, 1988)"
Жертва вечерняя,Zhertva vechernyaya,,,Evening Sacrifice,,Aleksandr Sokurov,1988,"Жертва вечерняя [Zhertva vechernyaya] [Evening Sacrifice] (Aleksandr Sokurov, 1988)"
Мария,Maria,,,Peasant Elegy,,Aleksandr Sokurov,1989,"Мария [Maria] [Peasant Elegy] (Aleksandr Sokurov, 1989)"
Спаси и сохрани,Spasi i sokhrani,,,Save and Protect,,Aleksandr Sokurov,1989,"Спаси и сохрани [Spasi i sokhrani] [Save and Protect] (Aleksandr Sokurov, 1989)"
Круг второй,Krug vtoroy,,,The Second Circle,,Aleksandr Sokurov,1990,"Круг второй [Krug vtoroy] [The Second Circle] (Aleksandr Sokurov, 1990)"
Советская элегия,Sovetskaya elegiya,,,Soviet Elegy,,Aleksandr Sokurov,1990,"Советская элегия [Sovetskaya elegiya] [Soviet Elegy] (Aleksandr Sokurov, 1990)"
Камень,Kamen,,,Stone,,Aleksandr Sokurov,1992,"Камень [Kamen] [Stone] (Aleksandr Sokurov, 1992)"
Элегия из России ...этюды для сна,Elegiya iz Rossii ...etyudy dlya sna,,,Elegy from Russia,,Aleksandr Sokurov,1993,"Элегия из России ...этюды для сна [Elegiya iz Rossii ...etyudy dlya sna] [Elegy from Russia] (Aleksandr Sokurov, 1993)"
Тихие страницы,Tikhiye stranitsy,,,Whispering Pages,,Aleksandr Sokurov,1993,"Тихие страницы [Tikhiye stranitsy] [Whispering Pages] (Aleksandr Sokurov, 1993)"
Духовные голоса,Dukhovnye golosa,,,Spiritual Voices,,Aleksandr Sokurov,1995,"Духовные голоса [Dukhovnye golosa] [Spiritual Voices] (Aleksandr Sokurov, 1995)"
Восточная элегия,Vostochnaya elegiya,,,Oriental Elegy,,Aleksandr Sokurov,1996,"Восточная элегия [Vostochnaya elegiya] [Oriental Elegy] (Aleksandr Sokurov, 1996)"
Мать и сын,Mat i syn,,,Mother and Son,,Aleksandr Sokurov,1997,"Мать и сын [Mat i syn] [Mother and Son] (Aleksandr Sokurov, 1997)"
Смиренная жизнь,Smirennaya zhizn,,,A Humble Life,,Aleksandr Sokurov,1997,"Смиренная жизнь [Smirennaya zhizn] [A Humble Life] (Aleksandr Sokurov, 1997)"
Повинность,Povinnost,,,Confession,,Aleksandr Sokurov,1998,"Повинность [Povinnost] [Confession] (Aleksandr Sokurov, 1998)"
Беседы с Солженицыным,Besedy s Solzhenitsynym,,,The Dialogues with Solzhenitsyn,,Aleksandr Sokurov,1998,"Беседы с Солженицыным [Besedy s Solzhenitsynym] [The Dialogues with Solzhenitsyn] (Aleksandr Sokurov, 1998)"
Молох,Moloch,,,,,Aleksandr Sokurov,1999,"Молох [Moloch] (Aleksandr Sokurov, 1999)"
Нежно,Nezhno,,,Dolce,,Aleksandr Sokurov,2000,"Нежно [Nezhno] [Dolce] (Aleksandr Sokurov, 2000)"
Элегия дороги,Elegiya dorogi,,,Elegy of a Voyage,,Aleksandr Sokurov,2001,"Элегия дороги [Elegiya dorogi] [Elegy of a Voyage] (Aleksandr Sokurov, 2001)"
Телец,Telets,,,Taurus,,Aleksandr Sokurov,2001,"Телец [Telets] [Taurus] (Aleksandr Sokurov, 2001)"
Русский ковчег,Russkiy kovcheg,,,Russian Ark,,Aleksandr Sokurov,2002,"Русский ковчег [Russkiy kovcheg] [Russian Ark] (Aleksandr Sokurov, 2002)"
Отец и сын,Otets i syn,,,Father and Son,,Aleksandr Sokurov,2003,"Отец и сын [Otets i syn] [Father and Son] (Aleksandr Sokurov, 2003)"
Сóлнце,Solntse,,,The Sun,,Aleksandr Sokurov,2005,"Сóлнце [Solntse] [The Sun] (Aleksandr Sokurov, 2005)"
Александра,Alexandra,,,,,Aleksandr Sokurov,2007,"Александра [Alexandra] (Aleksandr Sokurov, 2007)"
Фауст,Faust,,,,,Aleksandr Sokurov,2011,"Фауст [Faust] (Aleksandr Sokurov, 2011)"
Francofonia,,,,,,Aleksandr Sokurov,2015,"Francofonia (Aleksandr Sokurov, 2015)"
Deutschland im Herbst,,,,Germany in Autumn,,"Alexander Kluge, Rainer Werner Fassbinder, Edgar Reitz, Volker Schlöndorff, et al.",1978,"Deutschland im Herbst [Germany in Autumn] (Alexander Kluge, Rainer Werner Fassbinder, Edgar Reitz, Volker Schlöndorff, et al., 1978)"
Une nuit sur le mont chauve,,,,Night on Bald Mountain,,Alexandre Alexeieff & Claire Parker,1933,"Une nuit sur le mont chauve [Night on Bald Mountain] (Alexandre Alexeieff & Claire Parker, 1933)"
Le Rideau cramoisi,,,,The Crimson Curtain,,Alexandre Astruc,1953,"Le Rideau cramoisi [The Crimson Curtain] (Alexandre Astruc, 1953)"
Les Mauvaises rencontres,,,,Bad Liaisons,,Alexandre Astruc,1955,"Les Mauvaises rencontres [Bad Liaisons] (Alexandre Astruc, 1955)"
The Lodger: A Story of the London Fog,,,,,,Alfred Hitchcock,1927,"The Lodger: A Story of the London Fog (Alfred Hitchcock, 1927)"
The Ring,,,,,,Alfred Hitchcock,1927,"The Ring (Alfred Hitchcock, 1927)"
Blackmail,,,,,,Alfred Hitchcock,1929,"Blackmail (Alfred Hitchcock, 1929)"
The Manxman,,,,,,Alfred Hitchcock,1929,"The Manxman (Alfred Hitchcock, 1929)"
Murder!,,,,,,Alfred Hitchcock,1930,"Murder! (Alfred Hitchcock, 1930)"
Number Seventeen,,,,,,Alfred Hitchcock,1932,"Number Seventeen (Alfred Hitchcock, 1932)"
Rich and Strange,,,,,,Alfred Hitchcock,1932,"Rich and Strange (Alfred Hitchcock, 1932)"
The Man Who Knew Too Much,,,,,,Alfred Hitchcock,1934,"The Man Who Knew Too Much (Alfred Hitchcock, 1934)"
Waltzes from Vienna,,,,,,Alfred Hitchcock,1934,"Waltzes from Vienna (Alfred Hitchcock, 1934)"
The 39 Steps,,,,,,Alfred Hitchcock,1935,"The 39 Steps (Alfred Hitchcock, 1935)"
Sabotage,,,,,,Alfred Hitchcock,1936,"Sabotage (Alfred Hitchcock, 1936)"
Secret Agent,,,,,,Alfred Hitchcock,1936,"Secret Agent (Alfred Hitchcock, 1936)"
Young and Innocent,,,,,,Alfred Hitchcock,1937,"Young and Innocent (Alfred Hitchcock, 1937)"
The Lady Vanishes,,,,,,Alfred Hitchcock,1938,"The Lady Vanishes (Alfred Hitchcock, 1938)"
Foreign Correspondent,,,,,,Alfred Hitchcock,1940,"Foreign Correspondent (Alfred Hitchcock, 1940)"
Rebecca,,,,,,Alfred Hitchcock,1940,"Rebecca (Alfred Hitchcock, 1940)"
Mr. & Mrs. Smith,,,,,,Alfred Hitchcock,1941,"Mr. & Mrs. Smith (Alfred Hitchcock, 1941)"
Suspicion,,,,,,Alfred Hitchcock,1941,"Suspicion (Alfred Hitchcock, 1941)"
Saboteur,,,,,,Alfred Hitchcock,1942,"Saboteur (Alfred Hitchcock, 1942)"
Shadow of a Doubt,,,,,,Alfred Hitchcock,1943,"Shadow of a Doubt (Alfred Hitchcock, 1943)"
Lifeboat,,,,,,Alfred Hitchcock,1944,"Lifeboat (Alfred Hitchcock, 1944)"
Bon voyage,,,,,,Alfred Hitchcock,1944,"Bon voyage (Alfred Hitchcock, 1944)"
Aventure malgache,,,,,,Alfred Hitchcock,1944,"Aventure malgache (Alfred Hitchcock, 1944)"
Spellbound,,,,,,Alfred Hitchcock,1945,"Spellbound (Alfred Hitchcock, 1945)"
Notorious,,,,,,Alfred Hitchcock,1946,"Notorious (Alfred Hitchcock, 1946)"
The Paradine Case,,,,,,Alfred Hitchcock,1947,"The Paradine Case (Alfred Hitchcock, 1947)"
Rope,,,,,,Alfred Hitchcock,1948,"Rope (Alfred Hitchcock, 1948)"
Under Capricorn,,,,,,Alfred Hitchcock,1949,"Under Capricorn (Alfred Hitchcock, 1949)"
Stage Fright,,,,,,Alfred Hitchcock,1950,"Stage Fright (Alfred Hitchcock, 1950)"
Strangers on a Train,,,,,,Alfred Hitchcock,1951,"Strangers on a Train (Alfred Hitchcock, 1951)"
I Confess,,,,,,Alfred Hitchcock,1953,"I Confess (Alfred Hitchcock, 1953)"
Dial M for Murder,,,,,,Alfred Hitchcock,1954,"Dial M for Murder (Alfred Hitchcock, 1954)"
Rear Window,,,,,,Alfred Hitchcock,1954,"Rear Window (Alfred Hitchcock, 1954)"
To Catch a Thief,,,,,,Alfred Hitchcock,1955,"To Catch a Thief (Alfred Hitchcock, 1955)"
The Trouble with Harry,,,,,,Alfred Hitchcock,1955,"The Trouble with Harry (Alfred Hitchcock, 1955)"
The Man Who Knew Too Much,,,,,,Alfred Hitchcock,1956,"The Man Who Knew Too Much (Alfred Hitchcock, 1956)"
The Wrong Man,,,,,,Alfred Hitchcock,1956,"The Wrong Man (Alfred Hitchcock, 1956)"
Vertigo,,,,,,Alfred Hitchcock,1958,"Vertigo (Alfred Hitchcock, 1958)"
North by Northwest,,,,,,Alfred Hitchcock,1959,"North by Northwest (Alfred Hitchcock, 1959)"
Psycho,,,,,,Alfred Hitchcock,1960,"Psycho (Alfred Hitchcock, 1960)"
The Birds,,,,,,Alfred Hitchcock,1963,"The Birds (Alfred Hitchcock, 1963)"
Marnie,,,,,,Alfred Hitchcock,1964,"Marnie (Alfred Hitchcock, 1964)"
Torn Curtain,,,,,,Alfred Hitchcock,1966,"Torn Curtain (Alfred Hitchcock, 1966)"
Topaz,,,,,,Alfred Hitchcock,1969,"Topaz (Alfred Hitchcock, 1969)"
Frenzy,,,,,,Alfred Hitchcock,1972,"Frenzy (Alfred Hitchcock, 1972)"
Family Plot,,,,,,Alfred Hitchcock,1976,"Family Plot (Alfred Hitchcock, 1976)"
German Concentration Camps Factual Survey,,,,,,Alfred Hitchcock et al.,1945,"German Concentration Camps Factual Survey (Alfred Hitchcock et al., 1945)"
L'Hirondelle et la Mésange,,,,The Swallow and the Titmouse,,André Antoine,1920,"L'Hirondelle et la Mésange [The Swallow and the Titmouse] (André Antoine, 1920)"
Quatre-vingt-treize,,,,Ninety-Three,,"André Antoine, Albert Capellani & Léonard Antoine",1921,"Quatre-vingt-treize [Ninety-Three] (André Antoine, Albert Capellani & Léonard Antoine, 1921)"
Каток и скрипка,Katok i skripka,,,The Steamroller and the Violin,,Andrei Tarkovsky,1960,"Каток и скрипка [Katok i skripka] [The Steamroller and the Violin] (Andrei Tarkovsky, 1960)"
Ива́ново де́тство,Ivanovo detstvo,,,Ivan's Childhood,,Andrei Tarkovsky,1962,"Ива́ново де́тство [Ivanovo detstvo] [Ivan's Childhood] (Andrei Tarkovsky, 1962)"
Андрей Рублёв,Andrei Rublyov,,,,,Andrei Tarkovsky,1966,"Андрей Рублёв [Andrei Rublyov] (Andrei Tarkovsky, 1966)"
Солярис,Solyaris,,,Solaris,,Andrei Tarkovsky,1972,"Солярис [Solyaris] [Solaris] (Andrei Tarkovsky, 1972)"
Зеркало,Zerkalo,,,Mirror,,Andrei Tarkovsky,1975,"Зеркало [Zerkalo] [Mirror] (Andrei Tarkovsky, 1975)"
Ста́лкер,Stalker,,,,,Andrei Tarkovsky,1979,"Ста́лкер [Stalker] (Andrei Tarkovsky, 1979)"
Ностальгия,Nostalghia,,,,,Andrei Tarkovsky,1983,"Ностальгия [Nostalghia] (Andrei Tarkovsky, 1983)"
Offret,,,,The Sacrifice,,Andrei Tarkovsky,1986,"Offret [The Sacrifice] (Andrei Tarkovsky, 1986)"
La Vie des morts,,,,The Life of the Dead,,Arnaud Desplechin,1991,"La Vie des morts [The Life of the Dead] (Arnaud Desplechin, 1991)"
La Sentinelle,,,,The Sentinel,,Arnaud Desplechin,1992,"La Sentinelle [The Sentinel] (Arnaud Desplechin, 1992)"
